stage,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell
72hpf,0,0,0.28,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0
21Day,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0
3Month,0.62,2.29,0,0.62,0.1,3.12,0.1,9.57,0.1,0.21,0.31,0.21,0,0.21,0.21,0.1,0.1,0.21,0,0.1
22Month,0.14,0.27,0,0.27,0,1.09,0,5.06,0,0,0.14,0,0.14,0,0,0,0,0,0,0
