stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,4,5,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0.56,0,0,0,0,0,0,0,0,0,0.85,0,1.97,0,0.28,0,16.07,8.46,0,0.28,0,0.85,0,0.28,2.82,5.07,1.97,1.13,0,0
21Day,0.37,0,0.74,0,0.74,0,0,0,0,0,0.37,0,0.37,1.11,2.22,0.74,0,0,0,6.29,2.59,0,0.37,0,0.37,0.74,1.11,0,16.65,3.33,0,0,0
3Month,0,0.73,0.94,0.1,0,0.31,0.1,0,1.66,0.1,0,0.52,0.1,0.52,0.31,0.83,0.1,0,0.21,0.42,0.1,0.1,0,0,0,0.1,15.19,0,0.42,0.1,0.1,0.31,0.21
22Month,0,0.41,1.23,0,0,0,0.41,2.46,8.2,0.27,0.14,0.82,0.14,0.27,0.27,0.55,0,0,0.14,0.14,0.14,0,0,0.41,0,0,9.57,0.27,19.4,0,0,0,0
