stage,Epithelial_cell__Brain_,Keratinocyte,Macrophage,Neural_cell,Oligodendrocyte,T_cell
72hpf,0.56,0.28,0,2.54,0,0
21Day,0,0,0,0.37,0.37,0
3Month,0,0,0.1,0,0,0.21
