stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,18,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,24,25,0,0,0,1,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0.85,0.56,0,0.28,5.36,1.13,0.28,0,0,0.56,0,0,0,0,0,0,0
21Day,0,0,1.11,0.74,0,0,0.37,0,0,0,0,1.48,0,0.74,5.92,0,0,0,1.11,0,0.37,0,0.37,0,0,0.37,0,0.37,0.37,0.37,0,0,0,0,0
3Month,0.1,0.42,3.22,1.87,0.1,0.21,0,0.62,0.42,0,0,30.48,0.62,0.21,11.13,0.31,0.42,0.94,0.83,0.1,0.31,1.56,0.31,0,2.08,0.52,0,0,0.42,3.43,0.21,0.1,0.42,1.04,0.62
22Month,0,0.27,2.46,0.41,0,0,0,0.41,0.14,0.68,0,28.01,0.14,0.14,16.12,0,0.14,0.68,0.96,0.55,0,0.27,0.14,0,0.82,0.68,1.91,0,0.14,5.06,0,0.14,0,0,0
