stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,T_cell
24hpf,0,1,0,0,0,0,0,1,0,0,0,0,9,0,0
72hpf,0.56,0,0,0,0,0,0,0.56,0,0,0,0.56,0.28,0.28,0
21Day,0,0,0,0,0,1.11,0,0,0.37,0,0,0.37,0,0,3.7
3Month,0,0.21,0.31,0.1,0.21,0,0.21,0.1,0.1,0.21,0.1,0,0,0,5.51
22Month,0,0.14,0,0.27,0,0,0,0,0,0,0,0,0,0,0
