stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4,0,6,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,0.28,1.13,0,3.1,0.56,0.85,0,0,0,0,0,0,0,0,0,6.76,0,0.85,0.56,0,0,0.85,0.28,0.28,0,0,0,0,0,0,0
21Day,0,1.11,0,5.55,0,2.22,0.74,0,1.11,0,0.74,0.74,0.37,1.48,0,2.22,4.07,1.11,0,0,0,0.74,0,0.37,0,0,0.74,0.37,0,0,0
3Month,0,0.21,0.1,3.43,0.1,0,0,0.42,2.18,0,4.58,0.31,0,0.62,0.21,1.56,1.46,0.52,0,0.1,0.21,0.1,0,0,0.1,0.83,0,0,0.94,0.21,0.1
22Month,0,0.14,0.14,1.09,0,0,0,0.14,2.19,0.41,8.2,0.27,0,0.27,0,0.27,0.96,0.14,0.27,0.14,0,0,0,0,0,0,0.14,0,0.14,0,0
