stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,1,0,0,0,2,2,1,0,2,18,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,0.85,0.28,0.28,6.76,2.25,0.28,0,0,0
21Day,0.74,1.48,0.37,0,0,0,2.96,0.74,0,2.59,0,1.48,0,0.37,0.37
3Month,0,0.21,0,0.1,0.1,0,0.42,0,0,0,0,0,0.21,0,0
