stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,76,0,0,0,1,0,0,0,0,0,0,0
72hpf,0.85,0,1.41,0.28,1.41,0,0,0,0,0,0,0.28,1.69,0.28,1.41,0,0.28,0,0,91.32,40.02,0,0.56,2.82,0,0,3.95,1.13,0.28,0,0,0
21Day,0,0,1.48,0.37,0.37,0,0,0,0,0.37,0,0.37,0.74,0,0.37,0,0,0,0,32.56,13.69,0,1.48,0.37,1.85,0.37,1.85,1.85,0.37,0,0,0.37
3Month,0.1,0.1,1.35,0.1,0,0.42,0.1,0.83,0.73,0,0.62,0.73,0.42,0.31,0.83,0.1,0,0.42,0.1,2.7,0.21,0.62,3.33,0.1,0.1,3.64,0,0,0.1,0,5.82,0.83
22Month,0,0,0.27,0.14,0,0,0.14,1.23,0,0,1.23,0.27,0.14,0.14,0,0,0,0.27,0,0.55,0,0,2.6,0,0,0.41,0.14,0.55,0,0.14,0,0.14
