stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,2,13,0,0,0,1,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,1.41,1.13,1.69,0,0,0,0,0,0,0,0,0,1.69,2.82,0,1.13,0,0,0,68.21,3.95,0.56,0.28,0,0.28,0,0,0.28,0.56,0,0,0
21Day,0,0,0,11.1,0.37,2.22,0,0.37,0.37,0.74,0,0.37,0.37,0.74,0,0,1.85,0.37,1.85,0,0,0.37,40.33,3.33,1.11,1.11,0,1.11,0,1.11,1.11,0,0,0,0.74
3Month,0,0.1,0.21,4.78,0,0,0.1,0,4.78,0.31,0,1.77,0.42,0.21,0.42,0.21,2.39,0.83,1.04,0.31,0,0.21,1.14,0.1,1.87,0,0,0.1,0.1,10.3,0,0.21,0.31,1.98,2.91
22Month,0,0.14,0.68,1.91,0,0,0.27,0,3.01,0,0,4.37,0.27,0.68,6.29,0,0.41,0.27,1.5,0,0.14,0.14,0.82,0,2.32,0,0.27,0,0,3.69,0.14,0,0.14,0,0.68
