stage,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,T_cell
24hpf,1,0,0,0,0,0,2,0,0,2,2,0,0,0
72hpf,0,0,0,0,0.56,0.85,0,0,0,3.38,0.28,0,0,0
21Day,1.85,0,0,0,0,0.37,0,0,0.74,1.11,0.37,0,0,0
3Month,0,0.42,0.1,0.31,0,0.1,0,0.1,0,0,0,0.1,0.1,0.21
