stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0.56,0,0,0.28,0,0,0,0
21Day,0.37,0,1.85,0,0.37,0,0,0.37,0,0.37,0.37,1.11,0,0.74,0.37,0.37,0.37,0,0
3Month,0,0.1,0.31,0.1,0,0.52,0.1,0,0.31,0.31,0.21,0,0.1,0,0,0,0.1,0.1,0.1
22Month,0,0,0.14,0,0.14,0.68,0,0,0.14,0,0.14,0.14,0,0,0,0,0.14,0,0.14
