stage,Cardiomyocyte,Epithelial_cell__Brain_,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Radial_glia,Retinal_cone_cell
72hpf,0.85,0.28,0.28,0,0.28,0.28,41.15,3.38,0,0.85,0.56,0.28
21Day,0.37,0,0,0.37,0.37,0,8.88,2.59,0.37,0.37,0,0.37
