stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,2,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0
72hpf,0,0,1.41,0.28,0,0,0,0.56,0.28,4.79,2.82,0,0.28,0,0,1.41,0.28,0,0
21Day,0,0,1.85,0.37,0,0,0,0.37,0,0.74,0.74,0,0,0.37,0,0,0,0,0
3Month,0,0.1,0.73,0,0.31,0.1,0.21,1.66,0,0,0,0,0,0,0.1,0,0,0.1,0.1
22Month,0,0,0.41,0,0.82,0,0,0.14,0,0,0,0.14,0,0,0,0,0.14,0,0
