stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.13,0.28,0,0,0,0,0,0,0,0,0,1.13,5.92,0,0.56,0,0,0,0,0.85,0.28,0,0,0.28,0,0,0.28,0,0,0,0,0
21Day,0.74,0,0.37,5.18,0,0,0.37,0,0,0,0,0,0,0,0,1.85,0,0.74,0,0,0,0,0.37,0.37,0,0,0.74,0,0,0.74,0,0.37,0,0,0.74
3Month,0.1,0.1,0.31,12.69,0,0.21,0.1,0.73,1.35,0,11.13,11.03,0.31,2.39,0.31,2.08,2.29,1.14,0.52,0.1,1.46,0.21,0.21,0,0.52,0,1.04,0.62,0.1,16.85,0,0,0.1,3.22,2.91
22Month,0,0.55,0.82,4.92,0,0.14,0.41,1.64,7.24,0.55,34.57,6.7,1.5,2.46,0.27,0.96,3.01,2.73,0.41,0.41,0.82,0,0,0,0.82,0.68,0.27,0.41,0,8.47,0.14,0,0.14,0,1.23
