stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0.28,0.85,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.85,0,0,26.21,7.61,0.28,0.28,0.85,0,3.38,0,0,0,0,0,0
21Day,0.74,0,0.37,1.11,0.37,0,0,0,0,0,0,0,0,0,1.11,0.37,2.22,0,0,15.54,2.96,0,0,1.11,0,3.7,0.37,1.11,0,0,0,0.37
3Month,0,0.42,0.21,0,0,0,0.21,0.1,0,0.94,0.52,0,0.1,0,0.21,0.31,1.25,0.21,0.1,0.62,0.21,0,0.42,0,0,0.1,0,0,0.1,0.31,0.94,0.21
22Month,0,0,0.41,0,0,0.14,0,0.27,0.14,2.73,0,0.27,0.41,0,0.27,0.14,1.23,0,0.14,0.96,0.27,0,0,0,0.14,0.41,0,0,0,0,0.14,0.14
