stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell,Oligodendrocyte,Radial_glia
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3Month,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0.41,0.96,0.14,0.14,0.27,3.83,0.14,0.41,0.14,0.82,0.14,0,0.41,0.14
