stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0
72hpf,0,0.28,0,0,0,0,0,0,0.56,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0.37,0
22Month,0,0,1.64,2.32,0.27,1.5,0.41,0.14,0,0,0,0.14
