stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,5,118,2,0,2,0,0,0,0,0,0,0,0
72hpf,9.3,1.97,2.82,0.28,3.38,0,0,0,0.56,0.28,0,0,0,0.56,8.17,0.85,10.99,0,0.56,0.28,0,383.03,63.98,1.69,0.56,9.02,0.56,0,4.79,0.28,0.28,0.28,0,0
21Day,0.37,1.85,5.18,0,3.7,0,1.11,0.37,0,0,0.37,1.85,0.74,0.74,0.74,0.74,21.83,0,0,0.37,0,85.47,33.3,0,0.74,3.7,1.85,0,1.11,0.74,0.74,0,0,0
3Month,0,8.11,0.83,0,0,0,0.1,0.1,0.31,1.25,0.31,0,0.94,0.1,0.73,0.42,3.33,0.31,0,0,0.1,0.1,0.21,0.1,0.1,0,0.21,5.62,0,0,0,0,15.08,0.94
22Month,0,3.01,0.55,0,0,0.14,0,0,0.27,2.46,0,0.14,0.14,0,0.14,0.27,2.73,0.14,0.14,0.14,0,0.14,0.14,0.14,0,0,0,3.01,0,0,0,0,0.27,0.14
