stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,6,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,5,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,1.13,1.13,0,0,0,0,0,0,0,0,0.56,0,0.28,2.25,0.28,0.85,0,0.28,0,0,5.64,6.48,0,1.13,0.56,0,0.85,0.28,0,0,0.28
21Day,0,0,0,5.92,0.37,0.74,0,2.22,0.37,0,0,0,0.37,0,3.7,0,0.37,0.37,0.74,2.22,0,0,0,0,3.33,2.22,0.37,1.11,1.48,0,0.74,0,0,0,0.74
3Month,0,0.73,0.52,5.93,0,0,0,0.1,0.52,1.66,0,0,16.33,1.14,0.21,1.66,0.42,1.98,1.35,2.08,0.21,0,0.31,0.31,0.42,0.31,0.62,0.21,0.1,10.71,0.21,0,0.52,7.39,1.98
22Month,0.14,0.14,0.27,1.09,0,0,0.27,0.55,0.14,1.09,0.82,0,13.53,0.41,0.68,0.68,0.14,0.41,0.96,1.09,0,0.96,0.14,0,0,0,0.27,0.14,0,2.32,0.14,0,0,0,0.14
