stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,27.34,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0,0,2.25,0.28,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0.37,24.42,0.37,0.37,0,0,0,0,0,6.29,0.37,0.37,1.48,0.37,1.48,0,1.48,0,0,1.85,1.11,0,0,0,1.11,0,0,0.37,0,0,1.85
3Month,0,0.42,0,0.52,5.3,0,0,0.21,0.21,0,2.7,0.31,0.1,0.21,0,0.62,0.31,0.1,0,0,0.1,0.1,0,0,0.1,0.1,0,0.1,0.52,0,0,0.31,0.1,0.52
22Month,0,2.19,0.27,0.68,2.19,0,0,0.41,0.96,0.27,8.06,0.14,0.27,0.41,0,0.41,0.55,0.41,0.14,0,0,0,0,0,0,0,0.14,0,0.14,0.27,0,0.14,0,0
