stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,2.25,0,0.28,0,0,0,10.71,1.41,0,7.89,0,0,0,0,0,0,0,0
21Day,1.11,0,0,1.48,2.96,0,0.37,0,0,0,0,0.74,0,0,5.18,0,9.25,0,0,0.74,46.99,1.48,0.37,31.08,1.48,0,1.11,0.37,0.37,0,0,0
3Month,0,0,0.31,1.04,0,0.1,0,0.31,1.04,0.52,0.21,0,0.1,0,0.31,0.73,14.15,1.87,0.1,0.21,0.1,0.1,0.1,0.1,0.1,10.3,0.1,0,0.31,0.1,19.76,0.31
22Month,0,0.14,0,1.09,0,0.14,0,0,0.68,2.73,0.27,0,0,0.14,0,0.14,14.62,1.23,0.14,0,0.68,0,0,0,0,1.5,0.27,0,0.14,0,0.14,0
