stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21Day,0,0,0.74,0,0,0,0,0,0,0,0,0,0.37,0,0,2.22,0,0.37,0.37,0,0,0.37,0,0,0,0,0
3Month,0.21,0.21,2.08,0.31,0.42,0.1,3.74,0.73,0.1,1.04,0.1,0.62,0.94,0.94,0,18.1,0.21,0.1,0.1,0.52,0.21,0.1,0.83,0.62,0.21,0.21,0.94
22Month,0.41,0,0.68,0,0.41,0,2.46,0.14,0.27,0.14,0,0.14,0.55,0.82,0.14,7.11,0,0.14,0,0.14,0.14,0,0,0.27,0.14,0,0.14
