stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.28,0,3.66,0,0,0,0,0,0.28,0,0,0,0.28,7.05,0,9.86,0,0.28,3.1,7.05,1.13,0,0,2.82,0,0,0,0.56,0.28,0,0,0,0
21Day,1.48,0,0,2.22,0,0.37,0,0,0,0,0,0.37,0,0,2.96,0.74,31.08,0,0,8.51,7.4,0,0,0,1.11,0,0.74,0,5.55,0,0,0,0,0.37
3Month,0,0.31,0,3.02,0.1,0,0.21,0.21,0.21,2.29,0.62,0.1,0.83,0.31,3.33,1.04,52.84,0.42,0,1.46,0.21,0.31,0.31,0,0,0.21,4.47,0.21,0.1,0,0.42,0.1,1.46,0.21
22Month,0,0.14,0.14,0.82,0,0,0,0.14,0.96,3.96,0.14,0.27,1.09,0,0.55,0.27,8.75,0.68,0.27,0.55,0.41,0.27,0.14,0.14,0.14,0.14,4.37,0.27,26.78,0,0.41,0,0,0
