stage,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,2,0,0,0,0,5,0
72hpf,0.28,0,0.28,0.28,0.28,0.85,0.28
21Day,0,0.37,0.37,0,1.11,0,0
3Month,0.1,0.1,0.1,0,0,0,0
