stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,3,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
72hpf,7.05,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.56,0,0,0,0,0
21Day,5.55,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0.37,0.37,0,0
3Month,1.87,0.62,0,0,0.31,0,1.98,0.31,0,0.21,0.21,0.21,0.1,0,0.21,0.1,0.31,0.1,0,0,0.1,0.1
22Month,2.05,0.27,0,0.14,0.41,0.27,11.62,0.41,0.27,0.68,0.14,0.14,0.41,0.41,0.41,0,0,0,0,0,0.27,0.14
