stage,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.56,0.28,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0
3Month,0,0.1,0,0,0.1,0.1,0.1,0,0.1,0.1,0,0,0,0,0,0,0,1.46,0.1,0.62,0
22Month,0.14,0.82,0.14,0.14,0.82,0,3.14,0.27,0,0.14,0.41,1.23,0.27,0,0,19.95,0,0.82,0,0,0.14
