stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0,0,0,0,0
21Day,0,0.74,0,0,0,0,0,0,2.22,0,0,1.11,1.48,0.74,0,0,0,0.37,1.11,0,0,0.37
3Month,4.47,0.1,0.1,1.46,0.31,0.42,0.21,0.31,0.31,0,0.42,0,0,0.1,0.31,12.48,0.1,0,0,0.42,1.98,0
22Month,2.05,0,0,1.64,0,0.27,0.27,0.14,0.27,0.14,0,0,0,0,0,3.28,0,0.27,0,1.23,0,0
