stage,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
72hpf,0,0,0,0,0.28,0,1.41,0.28,0.28
21Day,0.37,0.37,0,0,0,0.37,1.48,0,0
3Month,0,0,0.83,0.1,0,0,0,0,0
