stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,6,0,0,0,0,0,0,1,0,0,0,0,1,161,2,3,0,0,0,0,1,23,0,0,0,1,0,0,0,0,1,0,0,0
72hpf,0.85,0.56,0,1.41,1.13,0,0,0,0,0,0,0,0,0,0,0.28,169.11,0,1.13,0,0.28,0,0,23.96,4.51,0,0.28,0,2.25,0.28,0,0.56,0,0,0,0,0
21Day,0,0,0,1.48,0,0,0,0,0,0,0,1.85,0.37,0,0,0,0.37,0,1.11,0,0,1.11,0,18.13,0.74,0,0.74,0,0.74,2.22,0.37,0.37,0.74,0,0,0,0
3Month,0,0.21,0.1,9.26,0,0.31,0.1,0.1,0.31,0,0,5.2,0.42,0,0.83,0.31,0.42,0.31,1.04,0.31,0,0.31,0.21,0.31,0,0,0,0,0,1.77,11.03,0.1,0,0.1,0.31,3.02,0.52
22Month,0,0.14,0,2.05,0,0.41,0.14,0.14,2.05,6.56,0,15.03,0.55,0.14,1.64,0,0.14,1.09,2.87,0,0.96,0.41,0,0.55,0,0.27,0.27,0.14,0,0.82,1.91,0.27,0,0,0,0,0.14
