stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0.56,0,0,0.28,0,7.05,0.56,0,0,0,1.97,1.41,0,0
21Day,0.74,0.37,0,0,0,0,0,0,0,0.37,0,0.74,0.74,0,0.37,0,0,0.74,0,0
3Month,0,1.35,0.1,0.1,1.25,0.52,0,0.83,0.1,1.46,0.1,0,0,0.21,19.45,0.1,0,0,11.34,0.1
22Month,0,0,0,0,1.37,0,0,0.27,0,0.41,0,0,0,0,1.78,0,0,0,0,0
