stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,3,3,0,0,0,0,0,1,0,0,18,0,0,3,64,0,0,0,0,0,0,0
72hpf,0.85,0.28,0.85,0.28,0,0,0,0,0,0.28,0.28,8.46,0.56,0,15.5,6.76,1.97,0,1.97,0,0,0,0
21Day,0.74,0.74,1.48,0.37,0,0,0,0,0,0,0,5.18,0.74,0,2.22,1.48,1.48,0,0.37,0.37,0,0,0
3Month,0,1.14,1.46,0,0.1,1.14,0.1,0.1,0.1,0.73,0,1.46,0,0.1,0.1,0,0,0.21,0,0,1.56,10.3,0.1
22Month,0,0.96,0.14,0,0,0.68,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0.14,0,0
