stage,Cardiomyocyte,Epithelial_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Radial_glia,Retinal_cone_cell
24hpf,0,0,2,0,1,3,0,0,0,0
72hpf,0.56,0,1.41,0,7.33,1.69,0,0.85,1.13,0
21Day,0.37,1.11,2.96,0.37,5.92,2.59,0.37,1.11,0,0.37
