stage,Cardiomyocyte,Epithelial_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,1,0,0,2,1,0,0,0,1,1,0
72hpf,0,0.28,0.56,0.56,0,0.56,0,0.28,0,0,0
21Day,0,1.85,0,0.37,0,0.37,0.37,0,0,0.37,0
3Month,0,0.21,0,0,0,0,0,0,0,0,0.1
