stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,2,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0.56,0,0,0,3.1,0,0,0.28,0,0,0.28,16.63,5.07,0,0,0
21Day,0.37,2.59,3.7,0.37,0,0,0,0,0,0.74,5.92,0,0,4.44,1.11,0.37,0,1.11,0,0,109.89,53.28,0.74,0,0
3Month,0,0.73,0,0.1,0,0,0.52,0,0,0,0.21,0,0,0.31,0,0,0,0.1,2.6,0,0.52,0,0,2.5,0.1
22Month,0,0,0,0,0.96,0.41,4.92,0.14,0.55,0.27,0.14,0.14,0.14,0,0.14,0,0,0.14,0.82,0,39.08,0,0,0,0.14
