stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0.74,0.37,0,0.37,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0
3Month,0,0.1,0.1,14.98,0,0,0,0.1,0.1,0.1,0.73,0.1,0.1,0.52,0.1,1.56,0.42,0.42,0.31,0,0.21,0,0,0,0,0,0.94,0,0.21,0.21
22Month,0,0.55,0,16.26,0,0.41,0,2.32,1.64,0.14,11.89,0.27,0.14,15.17,0.27,12.3,1.23,0.68,0,0.27,0,0,0.14,0.14,0.41,0,0.82,0.14,0,0.41
