stage,Granulocyte,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,1
72hpf,0,0,0.28,0.85,0
21Day,0,0,0,4.07,0
3Month,0,0.21,0,0,0
22Month,0.27,0,0,0,0
