stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,0,1,0
72hpf,0,0,0,0,0.56,0.85,0.28
21Day,0.37,0.37,0,0,1.48,0.37,0
22Month,0,0,1.64,0.14,0.14,0,0
