stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,0,0,1,0,0,0,3,0
72hpf,0,0.28,0.28,0.28,0,0,0,0,1.97,10.99,3.66,1.69
21Day,0.37,0,0,0,0,0,0,0,1.11,1.11,2.59,0
3Month,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0
