stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,0.85,0.28,0,0,0,0,0,0,0,0,1.13,0.56,0,0.28,0,0,0,1.97,0.85,0,0,0.85,0,0,0.28,0,0,0,0,0
21Day,1.11,0,0.74,2.59,0,0,0.74,0,0.74,0.74,0,0.74,3.7,0.37,0.37,0.74,2.59,0,1.11,0,1.85,0.37,0,0,0.37,0,0,0,0.37,0,0,0,1.48
3Month,0.42,0.31,0.31,2.29,0,0,0,0.31,0.94,20.49,3.22,0.52,11.13,1.46,0.31,0.73,0.94,0,1.04,2.7,0.1,0,1.04,0.1,0,0.42,0.52,0.31,0,0.1,0.21,0.1,12.07
22Month,0.41,0.27,0.14,0.82,0,0.14,0,0.27,0.41,12.44,0.41,0.14,5.74,0.14,0,0.68,0,0.27,0.14,0.14,0,0,0.96,0,0,0.27,0.27,0.68,0,0,0,0,2.46
