stage,Endothelial_cell,Epithelial_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Primordial_germ_cell,Retinal_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,4.23,0,0.28,0
21Day,0,0,0,0,0,0.37,0,0,0,0,0,1.11,0,0,0
3Month,0,0.21,0,0.42,0,0,0.31,0.31,1.14,0.21,0.31,0,0.1,0,0
22Month,0.14,0.27,0.55,1.5,0.27,0,0,0,0.55,0,0,0,0.14,0,0.14
