stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.56,0.56,0,0,0,0,0,0,0,0,9.02,0.28,0,0,0.28,0,0,0.56,0.56,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0.74,2.22,0,0,0,0.37,0,0.37,0,8.14,0.74,2.96,1.85,0.37,0,0,0.37,0,0,0.37,0,0,0,0.37,0,0,0,0,0,0
3Month,0,0,6.66,37.55,0,0.42,27.36,1.25,8.32,0.94,0.21,103.18,4.06,1.66,1.98,1.14,0.21,0.1,1.14,0.31,0.1,0,0.62,0.21,0,1.04,5.93,0,0,0.31,8.43,0.52
22Month,0,0.27,3.69,6.42,0,0.14,6.01,0.96,11.62,0.68,0.14,47.96,0.27,0.14,2.19,0.96,0,0.27,0.55,0,0.14,0,0.27,0,0.27,0.27,1.64,0.14,0.14,0,0,0
