stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Mesenchymal_cell,Osteoblast,Retinal_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,4,0,0,0
72hpf,0.28,0,0,0,0,0,1.69,0.28,0
21Day,0,0,0,0.37,0,0.74,0,0,0.74
3Month,0.1,0.1,0.1,0.1,0,0.31,0,0,0
22Month,0,0,0.55,0,0.14,0.68,0,0,0
