stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,1.41,0,0,0,0.85,0.28,0.56,0,0,0
21Day,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0,0,0
3Month,0.21,0.1,3.43,0.1,0.31,0.52,0,3.02,0.21,0.31,0.31,0.52,0.73,0.1,0.31,0,0.21,0.42,0.1,0,0.21,1.77,0.1,0,0.21,0.21,93.93,0.1
22Month,0,0,1.09,0,0,0.27,0.41,3.55,0.14,0,0.14,0,0,0.41,0,0.14,0,0,0,0.14,0,0.41,0.14,0,0,0,0,0
