stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Macrophage,Muscle_cell
21Day,0,0,0,0.37,0
3Month,0.1,0.1,0,0,0
22Month,0,0.14,0.14,0.27,0.14
