stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0.28,0.56,0.28,0.28,0,0,0,0,0.85,0,0,0,0,0,0,0.28,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0.74,0.37,0,0,0,0.37,0,4.07,0,0,0,0,0,0
3Month,0,0.42,0.1,2.08,0.1,0.21,0.94,3.12,1.04,0,1.25,0.31,2.81,1.14,4.47,5.62,0,0.31,0.62,0.1,0,0.21,0.1,0,0,1.66,109.11,0.1,0,0.1,1.04,24.13,0.1
22Month,0.14,0.27,0,0.55,0,0.41,0.41,3.42,0,0.14,0.55,0.14,0.27,0,5.74,0.27,0.14,0.14,0,0.27,0,0,0,1.37,0,0,20.09,0,0.14,0,0,0,0
