stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.66,0.28,0,0,0,0,0,0,0,0,0,0,0,0,1.97,15.5,0,0.28,0,0,0,0,1.41,0,0,0,0,0.28,0,0.28,0,0,0,0
21Day,0,0,0,41.07,0,1.85,0,0.37,0,0,0,0,0,0,0,0.37,1.11,1.11,12.21,0.74,0.37,0,0,0.74,0,2.22,0.37,0,0.37,0,0.37,0.37,1.11,0.37,0,0,0
3Month,0,0.21,0.42,45.35,0.1,0,0.1,0.1,0.1,2.08,0.52,0,0,4.16,0.52,0.21,5.1,0.83,8.01,1.66,0.73,0.1,0,0.42,0.31,0.21,0,0.1,0,0,0,0.62,4.37,0,0.21,0.42,0.62
22Month,0,0.96,0.41,6.01,0,0,0.14,0.41,0,0.82,0.14,0.14,0,8.06,0.41,0.14,3.01,0.41,1.23,0.55,0.27,0,0.41,0.27,0,0.27,0,0.14,0,0.14,0,0.14,0.27,0,0,0,0.27
