stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.28,0.85,0,0,0,0,0.85,0,0,0,0
21Day,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0.37,0,0,0
3Month,0.1,3.95,0.1,0.1,0.1,0.31,0.1,1.04,0.94,0.42,0.73,0,0.1,0.21,0.1,0.21,0.21,0,0.1,0,0.1,8.11,0.1,0.1,0.1,30.37,0.31
22Month,0,1.09,0,0,0,0,0,0.96,0,0,0,0.14,0.14,0.27,0,0,0.14,0,0,0.14,0,3.14,0,0,0,0.14,0
