stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hatching_gland,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0.56,0.56,0,0,33.82,1.97,8.74,0,0,0.28,0
21Day,0.74,3.7,0.74,0,0,0,0.37,1.85,1.48,0,0.37,16.65,0.37,4.81,0.37,0,0,0
3Month,0,0.31,0,0,0,0.1,0,0,0.21,0.21,0,0,0,0.21,0,0,0,0.1
22Month,0,0.14,0,0.14,0,1.37,0,0,0,0,0,0,0,0.27,0,0.14,0,0
