stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.41,0,0.28,0,0,0,0,0,0,0,0,0,0,0,3.66,0,0,0,0,0,0,0.56,0,0.28,0,0.28,0,0,0,0,0,0,0
21Day,0,0,0,1.11,0,0,0,0,0,1.48,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0,0,0.37,0,0,0.37,0.37,0,0.37,0,0,0,0
3Month,0.1,0.21,1.66,16.75,0.1,0,0.62,0.1,0.1,316.52,2.18,0,7.49,4.37,0.1,10.19,1.56,3.22,1.87,4.37,1.25,0.1,1.25,8.11,0.73,0,0.31,0.21,0.31,1.04,1.35,0.21,0.1,0.52,3.43,3.43
22Month,0,0.96,0.27,4.37,0,0,0.14,0,0,42.63,0.96,0.14,10.52,0.14,0,3.42,0,0.27,1.23,1.64,0,0,0,0,0,0,0.41,0,0,0,0,0.41,0,0,0,0.27
