stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,2.54,0.28,0,0,0,0,0.28,0.28,0,0,0,7.89,0.28,0.28,0,0,0,0,0
21Day,2.59,0.74,0.37,0,0,0,0,0.74,0.37,0,0,21.83,1.11,0,0,0.37,0.74,0,0.37
3Month,0.1,0.21,0,0.1,0.31,0,0,0,0,0.1,0.1,0,0,0,0.42,0,0,0.1,0
22Month,0,0.14,0,0,0.14,0.14,0,0,0.14,0,0.14,0,0,0,0.55,0,0,0,0
