stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,1,0,1,3,0,0,12,0,0,0
72hpf,0,0,0.28,0.85,0.28,1.97,3.38,0.28,0.28,0.28
21Day,0,0.37,0.74,0.37,0,1.11,1.85,0,0,0
