stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.85,0.28,0,0,0,0,0,0,0,0,0.28,0,0.28,0.56,0.56,0.56,0,0,0,0,1.97,3.1,0,0,0,0,0,0,0,0,0,0,0,0
21Day,4.07,1.11,0.74,15.17,0.74,0,3.33,0,0,0,0,0.74,0.74,15.17,0,0.74,8.14,5.55,7.4,0,0,0.37,0,3.7,4.07,0,0.37,4.44,1.48,0,0.74,0.37,0.37,0.37,0,0,5.18
3Month,0.1,0.94,2.39,9.05,0.1,0.1,0.52,0.1,7.18,2.39,0,12.17,2.6,2.39,24.55,0.42,1.56,4.26,1.35,0.1,0,0.83,0.42,0.21,0,0.52,0.1,0.1,0.83,2.39,0,0,0,0,0.94,0.42,7.39
22Month,0,0.82,1.23,1.91,0,0,0.14,0,1.09,2.05,0.55,19.95,0.68,1.37,12.3,0.14,0,2.87,1.5,0,0.55,0.14,0,0.27,0,0.41,0.14,0,0.14,0.14,0.14,0,0,0,0,0,1.23
