stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.85,0,0,0.28,0,0,0.28,0.28,0,0,0,0
21Day,0.74,0,0,0.37,0,0.37,0,0,0,0,0.37,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,0.1,2.29,0.1,0.1,0.42,0.1,0.83,0.1,0,1.77,0.21,0.31,0.83,0,0,0.1,0.31,0.1,0,0.21,0.1,0.31,0.73
22Month,0,0.14,0,0.55,0,0,0,0.14,1.09,0.14,0.14,1.23,0,0,0,0.14,0,0,0,0,0,0,0,0,0
