stage,Epithelial_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte
24hpf,0,1,2,0,0,132,0
72hpf,0.28,0,0,0.28,4.79,4.51,0.56
21Day,0,0,0,0,0,0.37,0.37
