stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0.28,2.54,2.25,0,0,0.56,0,0,0.56,0,0,0
21Day,0.37,0,0,3.7,0,0,0,0,0.37,0,0,0,0.74,0.37,0,0.74,0,2.96,0,0,0.37,0,1.48,2.96,0.37,0,1.11,0.74,0,0.37,0,0,3.7
3Month,0.1,0.62,0,2.81,0,0,0.1,0.52,0.83,0,2.81,0.42,0.21,0.94,0.42,1.14,0.62,1.25,0.31,0,1.04,0,0.52,0.1,0.31,0.21,0,0,0.21,0,0.1,0.31,2.7
22Month,0,1.09,0.14,3.14,0.14,0.14,0,0.68,2.32,0.14,8.61,1.09,1.64,6.83,0.14,0.41,2.73,1.37,0,0.14,0.55,0.14,0,0,0.14,0.55,0.27,0,0.55,0.14,0,0.27,2.32
