stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0.28,0,0.56,0,0,0,0,0,0,0,0.28,0.56,0,4.23,0,0,0.85,0.28,4.23,0,0,0,0.28,0
21Day,0.37,0.37,0,0.37,0,0,0,0,0,0,0,0.37,0,7.03,0,0.37,0,0,1.85,0.37,0,0.37,0,0
3Month,0,0.1,0.42,0,0.1,0,0,0.62,0,0.21,0.21,0.21,0.1,1.77,0.21,0.1,0,0,0,0.21,0.1,0,0,0.73
22Month,0,0.27,0.27,0,0,0.14,0.41,1.91,0.14,0.27,0,0,0.41,0.96,0.27,0,0,0,0,0,0.14,0.14,0,0
