stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,1,0,3,0,0,0,0,0,0,0,1,0,0,9,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.56,0,0.56,0,1.41,1.69,1.97,0,0
21Day,0.37,0,2.22,0,0,0,0,0,4.44,0.37,0.37,0,0.74,0.74,0.37,0,0
3Month,0,0,0.21,0,0.21,0.1,0,0.21,0,0,0.21,0.1,0,0,0,0.1,0.1
22Month,0,0.55,0.27,0.14,2.73,0,0.14,0.27,0,0.27,0.82,0,0,0,0,0.14,0
