stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mt_rich_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
21Day,0,0,0.37,0,0,0,0,0.37,0,0,0.37,0,0,0,0
3Month,0,0,0,0.1,0.1,0,0.42,0.21,0.1,0.21,0,0,0,0.1,0.1
22Month,0.14,0.27,0,0.14,0.27,0.14,3.42,0,0,0.14,0,0.14,0,0,0
