stage,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0
72hpf,0.28,0.28,0,0,0,0.85,0,0,0.28,0,0,0,0,0,0
21Day,0.74,0,0,0,0,1.48,0,0,0.37,0.37,0,0,0.74,0,0
3Month,0.83,0,0.73,0.1,0.21,0.21,0.1,0.21,0,0.21,0.1,0.31,0,0.21,0.21
22Month,0.14,0,0.27,0,0,0,0.27,0,0,0,0,0,0,0,0.14
