stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0,0,0,9.25,0,0,0,0,0,0,0.74,0,0.37,0.74,1.48,0,0,0,0,0.37,0,0,0,0,0,0.37,0,0,1.11
3Month,0.1,0,0.1,7.07,0.1,0.1,0,0,1.46,0,0.31,0.52,0.1,0.31,1.46,0.21,0.1,0,0.1,0,0,0,1.46,0.1,0,0,0.1,0.42,3.02
22Month,0,0.55,0,5.19,0,0.14,0.68,0.14,6.15,0.27,0,0.27,0.14,0.41,1.23,0.41,0.14,0.14,0,0,0,0.14,1.64,0.27,0.14,0,0,0,8.88
