stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell
24hpf,1,3,0,0,0,0,0,0,0,0,9,0
72hpf,0,0,0,0,0,0,0,0.28,0,1.97,0,0
21Day,0.74,1.48,0.37,0,0,0.37,0.37,0.37,1.48,1.48,0,0
3Month,0,0,0,0.21,0,0,0.1,0.1,0.62,0,0,0
22Month,0,0,0,0.14,0.14,0,0,0,0,0,0,0.14
