stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
3Month,0,0.1,0.1,0.1,0.1,0,0.1,0.1,0,0.83
22Month,0.14,0,0,0.96,0,0.27,0,0.27,0.14,0
