stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,0,1,0,1,1,9,0,0
72hpf,0,0,0,0,0.28,0.85,0,1.13,0,0.85,1.13,0
21Day,0.74,0.74,0,0,0,0.37,0,1.11,0,0.74,1.48,0
3Month,0,0.21,0,0.1,0.1,0.1,0,0,0,0,0,0.1
22Month,0.27,0.14,1.23,0.55,0,0,0.14,0,0,0.14,0,0
