stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,9,0,0,10,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.85,0,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,0.21,0,0.1,0.1,0.42,0.31,0.1,0.1,0,0,0,0,0.1,1.14,0,0,2.5,0.1
22Month,0,0.14,0.14,0.14,0,0.41,0,0,0.55,0,0,0,0.14,0.14,0,0.27,0.27,0.55,0,0
